제목,기사 내용
[포토] SOS비상벨설명하는 오세훈 서울시장,"[이데일리 김태형 기자] 오세훈 서울시장이 7일 오전 서울시청에서 안전도시를 위한 '서울형 건설혁신 대책'을 브리핑에 앞서 SOS 비상벨 지키미 보급을 설명하고 있다.서울시는 긴급상황에서 경찰 도착 전 주변에 도움과 자동신고 기능을 갖춘 비상벨은 안심경보기와 세트로 구성되며, 성폭력·가정폭력·교제폭력·스토킹 등 범죄피해자와 피해우려자 1만명이 대상이다.휴대용 SOS 비상벨 '지키미'는 공급업체가 선정되면 세부 지급기준에 따라 경찰서나 지구대·파출소에서 오는 12월 말부터 지급할 예정이다."
"“삑! 도와주세요”…서울시, 1만명에 ‘휴대용 SOS비상벨’ 보급",
"관악구, '관악형 신호등 스마트폴' 3개 설치","[서울=뉴스핌] 이진용 기자=서울 관악구(구청장 박준희)는 도로시설물을 정비하고 도시미관 개선과 안전한 보행환경 조성하기 위해 유동인구가 많은 신림로 일대(서울대벤처타운역~관악산역) 3개소에 '관악형 신호등 스마트폴(Pole)' 구축했다고 7일 밝혔다.

'관악형 신호등 스마트폴'은 도로에 개별적으로 설치되어 있던 신호등, 가로등, CCTV 등을 하나의 스마트폴(Pole)에 통합 설치하는 것으로 보행환경을 개선하고 스마트도시를 조성하는 도시기반시설이다.

또한 스마트폴은 와이파이(WiFi), 도시데이터 센서(S-DoT), LED비상벨, LED전광판, 집중조명, 시각장애인용 음향신호기 등의 서비스를 제공하며 주민들의 안전하고 쾌적한 생활환경 구축에도 기여한다.

관악형 신호등 스마트폴 설치 모습. [관악구 제공]

이번에 구축한 '관악형 신호등 스마트폴'은 올해 구 주민참여예산 사업의 일환으로, 설치 대상지 등을 주민과 관련 부서의 의견을 반영해 추진했다.

'주민참여예산제'란 지방자치단체의 예산 편성 등의 과정에 주민이 직접 참여하는 제도로, 주민 스스로 지역에 필요한 사업이나 정책을 제안하고 지방재정 운영의 투명성과 공정성을 높이는 것에 기여하는 제도다.

아울러 구는 민선 8기 공약사업인 '스마트도시 관악 조성'을 위해 우리구 지역특성에 맞는 통합형 스마트폴을 설치해 나가고 있다.

올해 말까지 어린이보호구역(스쿨존)내에 '통합안전 스마트폴' 4개소를 설치해 과속차량, 신호위반 차량, 횡단보도 사고 등으로부터 보행자를 보호하는 시스템을 구축해 나갈 계획이다.

박준희 관악구청장은 ""스마트폴 구축을 통해 도시미관을 저해하고 주민들의 보행불편을 야기하는 문제를 개선하겠다""라며 ""정보통신기술(ICT)을 활용해 스마트한 행정서비스를 제공할 수 있는 스마트도시 관악을 조성하기 위해 최선을 다하겠다""고 말했다.

jycafe@newspim.com"
"[뉴스1 PICK]“도와주세요!” 서울시, 휴대용 SOS비상벨'지키미' 보급","오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 취재진 앞에서 들어보이고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 취재진 앞에서 들어보이고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 설명하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 시연하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 설명하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 설명하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 시연하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 시연하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 취재진 앞에서 들어보이고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미' 세트 중 비상벨을 취재진 앞에서 들어보이고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미' 세트 중 안심 경보기를 취재진 앞에서 들어보이고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 시연하고 있다. 2023,11.7/뉴스1 © News1 김진환 기자

서울시가 긴급상황에서 경찰 도착 전 주변에 도움을 요청하고, 경찰 자동 신고 기능도 갖춘 휴대용 SOS 비상벨 '지키미'를 1만명에게 보급한다고 밝혔다.비상벨은 '안심 경보기'와 함께 한 세트로 구성되며, 성폭력·가정폭력·교제폭력·스토킹 등 범죄피해자와 피해우려자 1만명이 대상이다.오세훈 서울시장은 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미' 설명 및 시연회를 갖고 ""서울시민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 것이며, 특히 여성 등 범죄취약계층에 대한 안전 시책을 강화해 나가는 등 '약자와의 동행'을 계속 실천하겠다""고 밝혔다.비상벨은 기기 작동 시 경고음이 발생(작동 노출을 원치 않는 경우는 무음 가능)해 주변에 도움을 요청하고, 미리 설정한 최대 5명의 지인들에게 위치가 담긴 비상 문자메시지를 즉시 발송한다. 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.안심 경보기는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 발생시켜 가해자의 범행의지를위축시키고, 주변에 위급상황을 알릴 수 있는 기능이 탑재돼 있다.현재 비상벨과 경보기 공급업체 선정 절차를 진행 중이며, 서울경찰청과 함께 마련 중인 세부 지급기준에 따라 경찰서나 지구대·파출소에서 오는 12월 말부터 지급할 예정이다.kwangshinQQ@news1.kr"
"서울시, 성폭력·스토킹 발생 시 자동 신고하는 '휴대용비상벨' 1만명 보급","서울시 휴대용 비상벨 ⓒ서울시

서울시는 성범죄·가정폭력 등 강력범죄로 인한 피해자 및 피해우려자들을 대상으로 휴대용 SOS 비상벨 ‘지키미’와 ‘안심 경보기’를 보급한다고 7일 밝혔다.

‘휴대용 SOS 비상벨’은 기기 작동 시 경고음이 발생하여(작동 노출을 원치 않는 경우는 무음 가능) 주변에 도움을 요청하고, 미리 설정한 최대 5명의 지인들에게 위치가 담긴 비상 문자메시지를 즉시 발송한다. 또한, 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.

‘안심 경보기’는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 발생시켜 가해자의 범행의지를 위축시키고, 주변에 위급상황을 알릴 수 있는 기능이 탑재되어 있다.

비상벨과 경보기는 성폭력·가정폭력·교제폭력·스토킹 등 범죄피해자 및 피해우려자 1만명에게 우선 지급된다.

현재 비상벨과 경보기 공급업체 선정 절차를 진행 중이며, 서울경찰청과 함께 마련 중인 세부 지급기준에 따라 경찰서 및 지구대․파출소에서 금년 12월 말부터 지급할 예정이다.

한편 서울시는 일상생활 속 시민 불안을 덜어주기 위해 다각적인 사업을 추진하고 있다. 대표적으로 집까지 혼자서 걸어가기 불안한 시민이 안심하고 귀가할 수 있는 서비스를 제공하는 ▴안심이 앱, 이상동기 범죄 예방을 위한 ▴지능형 CCTV 확대, 반려견과 함께 동네 위험요소를 발견․신고하는 ▴반려견 순찰대 등이 운영되고 있다.

아울러 시는 지난달 시내 공원․등산로 등에 ‘지능형 CCTV’를 확대 설치키로 하고 자치구에 특별조정교부금을 지원, 총 1,640개소 5,515대를 신규 설치할 예정이다.

오세훈 서울시장은 “서울시민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 것이며, 특히 여성 등 범죄취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해나가겠다”고 밝혔다."
"서울시, 휴대용 SOS비상벨1만 세트 보급…경고음 울리고 112 자동 신고","사전에 설정한 최대 5명에 위치 담긴 비상문자 즉시 발송…무음 설정도 가능 서울시, 공급업체 선정 절차 진행 중…올해 12월 경찰서·지구대서 지급할 예정 오세훈 ""신림동 등산로서 있어선 안 될 사고 발생…시민 안전 지킬 방법 고민해"" ""시민 안전 위해 지원과 노력 아끼지 않을 것…약자와의 동행 계속 실천해 나갈 것""

오세훈 서울시장이 7일 오전 서울시청에서 휴대용 SOS 비상벨을 시연하고 있다. ⓒ뉴시스

서울시가 잇따른 강력범죄로 인한 시민 불안감을 해소하고 시민들의 일상 속 안전을 강화하기 위해 휴대용 SOS 비상벨 '지키미'를 보급한다고 7일 밝혔다.





휴대용 SOS 비상벨은 안심경보기와 한 세트로 구성되며 성폭력·가정폭력·교제폭력·스토킹 등 범죄피해자와 피해우려자 1만명에게 우선 지급된다.





휴대용 SOS 비상벨은 기기 작동 시 경고음이 발생해 주변에 도움을 요청한다. 아울러 미리 설정해 둔 최대 5명의 지인에게 위치가 담긴 비상 문자메시지를 즉시 발송한다. 상대가 눈치채지 못하도록 경고음을 무음으로 바꿀 수도 있다. 또한 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.





안심 경보기는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 발생시켜 가해자의 범행의지를 위축시키고 주변에 위급상황을 알릴 수 있다.

안심 물품 예시ⓒ서울시

시는 현재 비상벨 경보기 공급업체 선정 절차를 진행 중이다. 또 서울경창청과 함께 마련 중인 지급 기준에 따라 경찰서 및 지구대·파출소를 통해 올해 12월 말부터 지급할 예정이다.





이 밖에도 시는 일상생활 속 시민 불안을 덜어주기 위해 시민이 안심하고 귀가할 수 있는 서비스를 제공하는 안심이 애플리케이션, 이상동기 범죄 예방을 위한 지능형 폐쇄회로(CC)TV확대 등 다양한 사업을 추진 중이다.





오세훈 서울시장은 ""최근 관악구 신림동 등산로에서 있어서는 안 될 사고를 당한 젊은 여성분이 계셨다. 그때 굉장히 많은 시민들이 충격받았다""며 ""시민 안전을 지켜줄 방법이 없을까 고민을 많이 했다""고 밝혔다.





이어 ""서울시민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 것""이라며 ""특히 여성 등 범죄취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해 나가겠다""고 강조했다."
"서울시, 나를 지키는 휴대용비상벨'지키미' 보급","서울시가 오늘(7일) 각종 범죄 우려 등 긴급상황 시 경고음을 내 주변에 도움을 요청하고, 경찰에 자동 신고토록 하는 휴대용 SOS 비상벨 '지키미' 세트를 보급하기로 했다.



지키미는 범죄 등 긴급상황에서 나(me)를 지킨다는 의미로 휴대용 SOS 비상벨과 안심 경보기가 한 세트로 구성된다.



지키미는 성폭력, 가정폭력, 교제폭력, 스토킹 등 범죄 피해자와 피해 우려자 1만명에게 우선 지급된다.



휴대용 SOS 비상벨은 기기 작동 시 경고음이 발생해 주변에 도움을 요청할 수 있도록 한다.



미리 설정해 둔 최대 5명의 지인에게 위치가 담긴 비상 문자 메시지가 즉시 발송되고, 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.



특히 안심 경보기는 고리를 잡아당기면 경고음이 나와 주변에 위급 상황을 알리는 기능도 들어있다.



서울시는 현재 비상벨과 경보기 공급업체 선정을 위한 절차를 진행 중이다.



서울경찰청과 함께 마련 중인 세부 지급기준에 따라 경찰서와 지구대, 파출소에서 올해 12월 말부터 지급할 예정이다.



서울시는 또 귀갓길 시민들이 안심하고 집으로 갈 수 있 도록 돕는 안심이 앱을 비롯해 이상동기 범죄 예방을 위한 지능형 CCTV, 반려견과 함께 동네 위험요소를 발견·신고하는 반려견 순찰대 등을 운영하고 있다.



오세훈 서울시장은 ""서울시민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 것""이라며 ""특히 여성 등 범죄취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해나가겠다""고 말했다."
브리핑룸 들어서는 오세훈 시장,"(서울=뉴스1) 김진환 기자 = 오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 열리는 휴대용 SOS 비상벨 '지키미' 시연 및 글로벌 안전도시를 위한 서울형 건설혁신 '부실공사 ZERO 서울' 추친계획 설명을 위해 단상으로 들어서고 있다. 2023,11.7/뉴스1 kwangshinQQ@news1.kr"
[7일 수원 팔달구] 행궁동 주민자치회 타지역 주민자치 우수사례 벤치마킹 등,"반도체도 트럼프 리스크…외풍에 흔들리지 않는 생태계 만들어야

[아시아타임즈=정인혁 기자] 반도체 시장은 긴 불황의 터널을 지나 내년 1분기부터 업황 회복과 함께 상승 곡선이 전망된다. 감산 정책으로 인한 메모리 제품 가격 상승과 고부가가치 제품의 수요 증가 등 여러 상황이 ‘반도체의 봄’을 점치는 가운데 1년여 앞으로 다가온 미국 대선이 변수로 작용하고 있다. 전문가들은 외부 요인에 흔들리지 않는 국내 반도체 생태계 조성이 중요하다고 주장한다. 3일 업계에 따르면 내년 11월 치러지는 미국 대선에서 도널드 트럼프 전 대통령이 우세하다는 여론조사 결과가 잇달아 나오면서 삼성전자, SK하이닉스 등 국내 반도체 기업들이 대응책 마련에 고심 중이다. 시장조사업체 D램익스체인지에 따르면 PC용 D램 범용제품(DDR4 8Gb)의 11월 평균 고정거래가격은 전월 대비 3.33% 상승한 1.55달러를 기록했다. D램 가격은 10월 15.38% 오르며 2021년 7월(7.89% 상승) 이후 2년 3개월 만에 반등했다. 낸드 가격도 지난달 1.59% 상승하면서 2021년 7월(5.48% 상승) 이후 2년 3개월 만에 반등했다. 이러한 고정거래가격 반등은 삼성전자, SK하이닉스 등 주요 메모리 업체의 감산 효과가 본격적으로 나타난 덕이다. AI(인공지능), 데이터센터 등에서 고부가가치 제품인 HBM 수요도 늘고 있다. 아울러 PC, 스마트폰, 전력 반도체 등 시스템반도체 시장까지도 회복될 조짐이 보인다. 업계 관계자는 “올 초 예상대로 업황 회복이 진행되는 듯 하다”면서 “내년부터 반도체 시장이 오름세에 접어들 것으로 생각한다”고 말했다. 하지만 내년 진행되는 미국 대선이 큰 변수가 될 것으로 전망되며 낙관을 이어가기가 어려워졌다. 내년 대통령 선거를 앞두고 미국 주요 언론들은 경합주를 중심으로 바이든 대통령과 트럼프 전 대통령의 가상 대결 구도를 만들고 선호도 조사까지 진행 중이다. 최대 경합지역인 6개 주 중 5개 주에서 트럼프가 앞서는 결과가 나오고 있다. 이러한 추세라면 트럼프의 당선 가능성이 높다. 업계에서는 누가 당선되든 '중국의 반도체 굴기 좌절', '미국 중심 공급망 재구축'이라는 굵직한 정책 기조는 변함이 없을 것으로 전망하면서도 바이든과 트럼프의, 대중국 규제 관철 방식에는 차이가 있을 것으로 보고 있다. 바이든이 재선에 성공하면 국제 정치와 세계 경제는 현재 기조가 유지될 가능성이 높다. 바이든 정부는 영국, 호주, 네덜란드, 일본 등 동맹국을 끌어들이는 등 공조 전략으로 대중국 수출 통제에 나섰다. 바이든 2기가 열리면 동맹 및 파트너 국가들과 힘을 합쳐 중국을 압박하는 정책이 이어질 공산이 높다. 트럼프가 당선될 경우 기존 제도와 동맹국 공조가 치밀하게 진행 중인 지금의 상황이 송두리째 뒤집힐 가능성이 크다. 김양팽 산업연구원 전문연구원은 “바이든이 당선되면 현재 텐션을 유지하겠지만, 트럼프가 당선되면 본인이 주도한 새 정책을 펼칠 가능성도 배제할 수 없다”면서 “트럼프는 자기 주도적으로 프로젝트를 펼치고 싶어할텐데 그 방향이 예측 불가능한 부분이라 상당히 큰 리스크가 될 것”이라고 말했다. 또 트럼프가 미·중 갈등 한복판에 있는 반도체를 정조준해 삼성, SK 등에 생산시설 투자를 늘리라는 요구를 노골화할 가능성도 있다. 대통령 재임 시절 '반도체 자급'을 강조하며 TSMC 등 반도체 기업에 미국에 공장을 지으라고 압박한 사례를 보면 가늠할 수 있다. 또 중국 내에서 생산되는 국내 기업의 일부 반도체도 문제 삼을 가능성이 크다. 전문가들은 누가 대통령이 되든 미국 중심으로 반도체 산업이 흘러갈 것으로 전망하며 이에 대한 견고한 대응책과 함께 외부 요인에 흔들리지 않는 국내 반도체 생태계 조성을 앞당겨야 한다고 강조했다. 이종환 상명대 시스템반도체학과 교수는 “트럼프는 바이든보다 더 경제를 중시하고 자국 중심적”이라면서 “동맹국과의 관계 등은 제쳐두고 자국 이익을 극대화할 전략을 구사하는 과정에서 국내 반도체 기업도 영향을 받을 것”이라고 말했다. 이어 그는 “결국 바이든이 되든, 트럼프가 되든 우리는 이러한 외부 요인에 흔들리지 않아야 한다”며 “현재 구성 중인 용인반도체클러스터 등을 통해 자국 내 반도체 생태계 조성이 앞당겨져야 한다”고 덧붙였다. 신훈규 포스텍 나노융합기술원 미래전략기획단장은 “누가 되든 상관없이 국내 반도체 기업에 영향이 없지 않을 것”이라면서 “현재 보여지는 대외적인 요인들에 흔들리지 않는 국내 공급망 구축이 빨리 진행되길 바란다”고 말했다."
"삐익~112 자동 신고...서울시, 휴대용 SOS비상벨'지키미' 보급","오세훈 서울시장이 7일 오전 서울 중구 서울시청 브리핑룸에서 휴대용 SOS 비상벨 '지키미'를 시연하고 있다./사진=뉴스1 서울시는 7일 비상상황시 경찰 도착 전 주변에 도움을 요청하고, 자동 신고 기능까지 갖춘 휴대용 SOS 비상벨 '지키미'를 보급한다고 밝혔다.



잇따른 강력범죄로 인한 시민 불안감을 해소하고 시민의 일상 안전을 지키기 위한 기구인 '지키미'는 범죄 등 긴급상황에서 나(me)를 지킨다는 의미로 휴대용 SOS 비상벨과 안심 경보기가 한 세트로 구성된다. 시는 성폭력·가정폭력·교제폭력·스토킹 등 범죄 피해자와 피해 우려자 1만명에게 우선 지급한다.



비상벨은 기기 작동 시 경고음이 발생해(무음도 가능) 주변에 도움을 요청하고 미리 설정한 최대 5명의 지인에게 위치 정보가 담긴 비상 문자메시지를 즉시 발송한다. 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.

/사진제공=서울시 안심 경보기는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 내는 장치다. 가해자의 범행 의지를 위축시키고 주변에 위급상황을 알릴 수 있다.



시는 현재 비상벨과 경보기 공급업체 선정작업 중이다. 서울경찰청과 함께 세부 지급기준을 마련한 뒤 경찰서, 지구대·파출소를 통해 다음 달말부터 지급할 예정이다. 여기에 시는 시민이 안심하고 귀가할 수 있는 서비스를 제공하는 안심이 애플리케이션, 이상동기 범죄 예방을 위한 지능형 폐쇄회로(CC)TV 확대, 반려견 순찰대 등의 사업을 추진하고 있다.



오세훈 서울시장은 ""서울시민의 안전을 위해서는 어떤 지원과 노력도 아끼지 않겠다""며 ""특히 여성 등 범죄 취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해나가겠다""고 말했다. 서울시는 7일 비상상황시 경찰 도착 전 주변에 도움을 요청하고, 자동 신고 기능까지 갖춘 휴대용 SOS 비상벨 '지키미'를 보급한다고 밝혔다.잇따른 강력범죄로 인한 시민 불안감을 해소하고 시민의 일상 안전을 지키기 위한 기구인 '지키미'는 범죄 등 긴급상황에서 나(me)를 지킨다는 의미로 휴대용 SOS 비상벨과 안심 경보기가 한 세트로 구성된다. 시는 성폭력·가정폭력·교제폭력·스토킹 등 범죄 피해자와 피해 우려자 1만명에게 우선 지급한다.비상벨은 기기 작동 시 경고음이 발생해(무음도 가능) 주변에 도움을 요청하고 미리 설정한 최대 5명의 지인에게 위치 정보가 담긴 비상 문자메시지를 즉시 발송한다. 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.안심 경보기는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 내는 장치다. 가해자의 범행 의지를 위축시키고 주변에 위급상황을 알릴 수 있다.시는 현재 비상벨과 경보기 공급업체 선정작업 중이다. 서울경찰청과 함께 세부 지급기준을 마련한 뒤 경찰서, 지구대·파출소를 통해 다음 달말부터 지급할 예정이다. 여기에 시는 시민이 안심하고 귀가할 수 있는 서비스를 제공하는 안심이 애플리케이션, 이상동기 범죄 예방을 위한 지능형 폐쇄회로(CC)TV 확대, 반려견 순찰대 등의 사업을 추진하고 있다.오세훈 서울시장은 ""서울시민의 안전을 위해서는 어떤 지원과 노력도 아끼지 않겠다""며 ""특히 여성 등 범죄 취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해나가겠다""고 말했다.





<저작권자 © ‘돈이 보이는 리얼타임 뉴스’ 머니투데이, 무단전재 및 재배포 금지> 공감 0%

비공감 0%"
"서울시, 범죄피해 우려자 1만명에게 휴대용 SOS비상벨지급","휴대용 비상벨 예시 / 사진 = 서울시 제공.

연말까지 서울시내 범죄피해가 우려되는 1만명에게 휴대용 SOS 비상벨이 지급된다.

서울시는 잇따른 강력범죄로 인한 시민 불안감을 해소하고 시민들의 일상의 안전을 강화하고자 긴급상황에서 경찰 도착 전 주변에 도움을 요청하고 경찰 자동 신고 기능도 갖춘 휴대용 SOS 비상벨 ‘지키미’를 보급할 예정이다.

‘휴대용 SOS 비상벨’은 ‘안심 경보기’와 함께 한 세트로 구성되며 성폭력·가정폭력·교제폭력·스토킹 등 범죄피해자 및 피해우려자 1만명에게 우선 지급된다.

지급되는 ‘휴대용 SOS 비상벨’은 기기 작동 시 경고음이 발생해 주변에 도움을 요청하고 미리 설정한 최대 5명의 지인들에게 위치가 담긴 비상 문자메시지를 즉시 발송한다.

또 경고음 발생 후 20초가 지나면 112에 자동 신고하는 기능도 선택할 수 있다.

‘안심 경보기’는 고리를 잡아당기는 간단한 작동만으로 강력한 경고음을 발생시켜 가해자의 범행의지를 위축시키고 주변에 위급상황을 알릴 수 있는 기능이 탑재돼 있다.

서울시는 현재 비상벨과 경보기 공급업체 선정 절차를 진행중이며 서울경찰청과 함께 마련 중인 세부 지급기준에 따라 경찰서 및 지구대·파출소에서 12월말부터 지급할 예정이다.

한편 서울시는 일상생활 속 시민 불안을 덜어주기 위해 다각적인 사업을 추진 중이다.

대표적으로 집까지 혼자서 걸어가기 불안한 시민이 안심하고 귀가할 수 있는 서비스를 제공하는 안심이 앱, 이상동기 범죄 예방을 위한 지능형 CCTV 확대, 반려견과 함께 동네 위험요소를 발견·신고하는 반려견 순찰대 등이 운영되고 있다.

오세훈 서울시장은 “서울시민의 안전을 위해서는 어떠한 지원과 노력도 아끼지 않을 것이며 특히 여성 등 범죄취약계층에 대한 안전 시책을 강화해 나가는 등 약자와의 동행을 계속 실천해 나가겠다”고 밝혔다."
"대우건설, 대전 '관저 푸르지오 센트럴파크' 20일 견본주택 오픈","사진=대우건설

[오늘경제 = 이상호 기자]

대우건설(대표이사 백정완)이 금일(20일) 대전광역시에 '관저 푸르지오 센트럴파크'의 견본주택을 열고 분양 일정에 들어선다고 20일 밝혔다.

이 단지는 대전광역시 서구 관저동 일원에 2개 블록으로 조성된다. 지하 2~3층, 지상 최고 25층으로 각각 4개동 씩 총 660세대로 구성됐다. 임대를 제외한 528세대가 일반분양될 예정이다. 평균분양가는 3.3㎡당 1700만원이다.

청약은 10월 30일 특별공급을 시작으로 31일 1순위, 11월 1일 2순위 청약을 진행하고, 1단지 11월 7일, 2단지 11월 8일에 당첨자를 발표한다.

정당계약은 11월 20일부터 22일까지 3일간 실시하며 입주는 2026년 11월 예정이다.

관저 푸르지오 센트럴파크 단지 인근에는 약 160만평 규모의 나노·반도체 국가산업단지 조성이 추진되고 있다. 뿐만 아니라 충청권광역철도 1단계의 개발 호재도 예정되어 있다. 충청권광역철도1단계는 계룡에서 신탄진까지 이어지는 철도 개발 계획으로, 단지 인근에 위치한 기존 가수원역을 활용할 예정이다.

건양대학교 병원, 롯데마트, CGV, 맥도날드, 스타벅스, 관저문예회관 등 의료·문화·편의시설이 다양하게 자리하고 있다. 더불어 단지 주변으로는 도안근린공원, 구봉산 등산로, 느리울근린공원 등 녹지환경도 풍부해 쾌적한 생활이 기대된다.

주거생활에 필요한 다양한 인프라도 두루 갖추고 있다. 특히 원스톱 교육환경이 시선을 끈다. 느리울초, 가수원초, 느리울중, 동방고 등 다수의 초중고교가 도보권에 위치해 있으며, 학원가 및 가수원 도서관도 가까워 우수한 면학분위기를 누릴 수 있다.

‘관저 푸르지오 센트럴파크’는 수요층이 가장 많은 84㎡타입만으로 조성된다. 1단지는 A타입 158세대, B타입 82세대, C타입 90세대로, 2단지는 A타입 161세대, B타입 84세대, C타입 85세대로 구성되어 있다. 펜트리 계획을 통한 수납공간을 극대화했고, ‘ㄷ자형’ 주방으로 조리공간 활용성도 높아졌다. 뿐만 아니라 실외기실, 하향식 피난구 통합 계획 등으로 공간 활용이 우수하다.

대우건설만의 기술력으로 개발한 푸르지오의 클린에어시스템을 통해 단지 입구부터 집안까지 미세먼지가 발생되는 구역을 집중적으로 관리하는 청정 시스템도 적용한다. 스마트폰을 소지하면 공동현관문이 자동으로 열리고 엘리베이터가 내려와 대기하는 원패스 시스템도 갖추고 있다. 피트니스클럽, 독서실, 시니어클럽 등 입주민이 편리하게 이용할 수 있는 커뮤니티시설도 갖추고 있다.

관저 푸르지오 센트럴파크는 강화된 안전 시스템이 특징이다. 단지입구, 동현관, 지하주차장 및 엘리베이터 내부에 고화질 CCTV 카메라를 설치하여 단지 내 보안을 강화했다. 단지 출입구에는 외부 차량의 출입을 통제하는 주차관제 차량번호 인식 시스템을 도입하고, 택배를 가장한 범죄를 예방할 수 있도록 단지 내 무인택배 시스템도 설치했다.

또한 지하주차장 내 위급 상황 시 대응할 수 있도록 비상벨을 설치하고, 현관 앞 일정 거리 이내에 사람이 접근하면 자동으로 촬영이 되는 스마트도어카메라 시스템도 도입했다.

견본주택은 대전광역시 서구 도안동 일원에 위치한다.

오늘경제

저작권자 © 오늘경제 무단전재 및 재배포 금지"
